,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,lhb,18,female,0,08,F,4.0,,,,,
1,lhb,18,female,0,09,F,2.6,,,,,
2,lhb,18,female,0,04,M,6.0,,,,,
3,lhb,18,female,0,10,M,3.0,,,,,
4,lhb,18,female,0,02,M,5.2,,,,,
5,lhb,18,female,0,07,F,7.1,,,,,
6,lhb,18,female,0,07,M,3.0,,,,,
7,lhb,18,female,0,10,F,5.4,,,,,
8,lhb,18,female,0,09,M,5.6,,,,,
9,lhb,18,female,0,06,F,2.0,,,,,
10,lhb,18,female,0,08,M,5.0,,,,,
11,lhb,18,female,0,01,M,4.5,,,,,
12,lhb,18,female,0,05,F,3.6,,,,,
13,lhb,18,female,0,02,F,2.7,,,,,
14,lhb,18,female,0,03,M,7.6,,,,,
15,lhb,18,female,0,01,F,6.7,,,,,
16,lhb,18,female,0,03,F,6.2,,,,,
17,lhb,18,female,0,05,M,5.0,,,,,
18,lhb,18,female,0,04,F,1.7,,,,,
19,lhb,18,female,0,06,M,5.0,,,,,
20,lhb,18,female,1,08,F,2.9,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
21,lhb,18,female,1,09,M,6.4,Musicstimuli/New.and.moments,wav,0.868,08,Hap
22,lhb,18,female,1,04,M,5.8,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
23,lhb,18,female,1,05,F,5.0,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
24,lhb,18,female,1,03,F,7.1,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
25,lhb,18,female,1,06,M,5.0,Lyrics/L.O.C,jpg,-3.28,02,Sad
26,lhb,18,female,1,02,M,6.1,Musicstimuli/Crossing.over,wav,0.087,01,Sad
27,lhb,18,female,1,01,M,3.1,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
28,lhb,18,female,1,06,F,3.1,Lyrics/L.O.C,jpg,+2.65,07,Hap
29,lhb,18,female,1,07,F,7.9,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
30,lhb,18,female,1,03,M,7.1,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
31,lhb,18,female,1,02,F,5.0,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
32,lhb,18,female,1,10,M,6.1,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
33,lhb,18,female,1,05,M,2.1,Musicstimuli/Northern.star,wav,0.051,04,Sad
34,lhb,18,female,1,09,F,4.4,Musicstimuli/Début,wav,0.062,02,Sad
35,lhb,18,female,1,10,F,4.0,Lyrics/L.O.C,jpg,-3.67,05,Sad
36,lhb,18,female,1,04,F,3.0,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
37,lhb,18,female,1,07,M,6.7,Musicstimuli/Morning.talk,wav,0.826,07,Hap
38,lhb,18,female,1,01,F,6.9,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
39,lhb,18,female,1,08,M,1.3,Musicstimuli/Emptiness,wav,0.076,03,Sad
