,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,AHJ,21,male,0,10,M,4.8,,,,,
1,AHJ,21,male,0,06,M,5.9,,,,,
2,AHJ,21,male,0,02,F,3.0,,,,,
3,AHJ,21,male,0,08,M,4.9,,,,,
4,AHJ,21,male,0,09,M,6.0,,,,,
5,AHJ,21,male,0,10,F,4.9,,,,,
6,AHJ,21,male,0,08,F,4.0,,,,,
7,AHJ,21,male,0,02,M,5.6,,,,,
8,AHJ,21,male,0,03,M,6.5,,,,,
9,AHJ,21,male,0,03,F,5.5,,,,,
10,AHJ,21,male,0,01,M,4.9,,,,,
11,AHJ,21,male,0,09,F,4.6,,,,,
12,AHJ,21,male,0,01,F,6.9,,,,,
13,AHJ,21,male,0,05,F,5.0,,,,,
14,AHJ,21,male,0,04,F,4.4,,,,,
15,AHJ,21,male,0,07,M,4.4,,,,,
16,AHJ,21,male,0,04,M,5.1,,,,,
17,AHJ,21,male,0,06,F,3.7,,,,,
18,AHJ,21,male,0,05,M,3.4,,,,,
19,AHJ,21,male,0,07,F,6.3,,,,,
20,AHJ,21,male,1,07,F,6.3,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
21,AHJ,21,male,1,05,F,4.6,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
22,AHJ,21,male,1,10,M,4.1,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
23,AHJ,21,male,1,03,M,6.0,Musicstimuli/Début,wav,0.062,02,Sad
24,AHJ,21,male,1,02,F,3.4,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
25,AHJ,21,male,1,04,M,7.0,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
26,AHJ,21,male,1,08,M,5.3,Musicstimuli/Crossing.over,wav,0.087,01,Sad
27,AHJ,21,male,1,06,F,4.1,Lyrics/L.O.C,jpg,-3.28,02,Sad
28,AHJ,21,male,1,10,F,4.7,Lyrics/L.O.C,jpg,-3.67,05,Sad
29,AHJ,21,male,1,01,M,6.1,Lyrics/L.O.C,jpg,+2.65,07,Hap
30,AHJ,21,male,1,04,F,4.4,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
31,AHJ,21,male,1,02,M,3.6,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
32,AHJ,21,male,1,05,M,2.9,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
33,AHJ,21,male,1,01,F,7.6,Musicstimuli/New.and.moments,wav,0.868,08,Hap
34,AHJ,21,male,1,08,F,3.7,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
35,AHJ,21,male,1,06,M,5.5,Musicstimuli/Morning.talk,wav,0.826,07,Hap
36,AHJ,21,male,1,07,M,4.6,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
37,AHJ,21,male,1,09,F,4.4,Musicstimuli/Emptiness,wav,0.076,03,Sad
38,AHJ,21,male,1,09,M,4.4,Musicstimuli/Northern.star,wav,0.051,04,Sad
39,AHJ,21,male,1,03,F,4.3,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
