,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,khefw,20,female,0,02,F,3.0,,,,,
1,khefw,20,female,0,05,M,4.1,,,,,
2,khefw,20,female,0,03,F,5.1,,,,,
3,khefw,20,female,0,07,F,6.0,,,,,
4,khefw,20,female,0,06,F,4.3,,,,,
5,khefw,20,female,0,04,M,6.0,,,,,
6,khefw,20,female,0,01,F,6.1,,,,,
7,khefw,20,female,0,10,F,4.1,,,,,
8,khefw,20,female,0,08,F,5.9,,,,,
9,khefw,20,female,0,01,M,4.3,,,,,
10,khefw,20,female,0,09,F,5.0,,,,,
11,khefw,20,female,0,05,F,4.2,,,,,
12,khefw,20,female,0,02,M,4.1,,,,,
13,khefw,20,female,0,10,M,3.9,,,,,
14,khefw,20,female,0,09,M,5.4,,,,,
15,khefw,20,female,0,04,F,4.3,,,,,
16,khefw,20,female,0,03,M,5.9,,,,,
17,khefw,20,female,0,08,M,4.7,,,,,
18,khefw,20,female,0,07,M,3.2,,,,,
19,khefw,20,female,0,06,M,4.2,,,,,
20,khefw,20,female,1,02,M,4.1,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
21,khefw,20,female,1,01,M,4.1,Musicstimuli/Début,wav,0.062,02,Sad
22,khefw,20,female,1,08,M,4.9,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
23,khefw,20,female,1,10,M,4.2,Lyrics/L.O.C,jpg,-3.67,05,Sad
24,khefw,20,female,1,02,F,3.1,Musicstimuli/Northern.star,wav,0.051,04,Sad
25,khefw,20,female,1,09,F,5.1,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
26,khefw,20,female,1,03,M,6.0,Musicstimuli/New.and.moments,wav,0.868,08,Hap
27,khefw,20,female,1,10,F,3.3,Musicstimuli/Emptiness,wav,0.076,03,Sad
28,khefw,20,female,1,06,M,4.6,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
29,khefw,20,female,1,07,F,6.3,Lyrics/L.O.C,jpg,+2.65,07,Hap
30,khefw,20,female,1,07,M,3.4,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
31,khefw,20,female,1,06,F,4.2,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
32,khefw,20,female,1,05,M,4.9,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
33,khefw,20,female,1,04,M,6.1,Musicstimuli/Crossing.over,wav,0.087,01,Sad
34,khefw,20,female,1,08,F,6.6,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
35,khefw,20,female,1,03,F,4.2,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
36,khefw,20,female,1,01,F,6.4,Lyrics/L.O.C,jpg,-3.28,02,Sad
37,khefw,20,female,1,09,M,6.0,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
38,khefw,20,female,1,05,F,4.2,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
39,khefw,20,female,1,04,F,3.1,Musicstimuli/Morning.talk,wav,0.826,07,Hap
