,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,FKBC,21,female,0,09,F,5.0,,,,,
1,FKBC,21,female,0,08,M,6.0,,,,,
2,FKBC,21,female,0,09,M,4.7,,,,,
3,FKBC,21,female,0,03,F,6.4,,,,,
4,FKBC,21,female,0,03,M,6.2,,,,,
5,FKBC,21,female,0,06,F,5.5,,,,,
6,FKBC,21,female,0,08,F,4.9,,,,,
7,FKBC,21,female,0,04,M,5.1,,,,,
8,FKBC,21,female,0,02,M,4.5,,,,,
9,FKBC,21,female,0,07,F,4.8,,,,,
10,FKBC,21,female,0,07,M,4.9,,,,,
11,FKBC,21,female,0,01,M,5.3,,,,,
12,FKBC,21,female,0,06,M,4.3,,,,,
13,FKBC,21,female,0,04,F,5.0,,,,,
14,FKBC,21,female,0,05,F,4.6,,,,,
15,FKBC,21,female,0,10,M,4.5,,,,,
16,FKBC,21,female,0,02,F,4.2,,,,,
17,FKBC,21,female,0,05,M,4.2,,,,,
18,FKBC,21,female,0,01,F,4.1,,,,,
19,FKBC,21,female,0,10,F,5.1,,,,,
20,FKBC,21,female,1,08,M,4.5,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
21,FKBC,21,female,1,06,F,3.9,Musicstimuli/Emptiness,wav,0.076,03,Sad
22,FKBC,21,female,1,10,M,5.6,Musicstimuli/New.and.moments,wav,0.868,08,Hap
23,FKBC,21,female,1,04,F,3.4,Musicstimuli/Début,wav,0.062,02,Sad
24,FKBC,21,female,1,06,M,4.0,Lyrics/L.O.C,jpg,-3.67,05,Sad
25,FKBC,21,female,1,10,F,4.3,Lyrics/L.O.C,jpg,-3.28,02,Sad
26,FKBC,21,female,1,04,M,5.6,Lyrics/L.O.C,jpg,+2.65,07,Hap
27,FKBC,21,female,1,03,F,8.1,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
28,FKBC,21,female,1,09,M,5.2,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
29,FKBC,21,female,1,02,F,4.7,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
30,FKBC,21,female,1,01,M,4.6,Musicstimuli/Northern.star,wav,0.051,04,Sad
31,FKBC,21,female,1,02,M,6.9,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
32,FKBC,21,female,1,07,F,4.6,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
33,FKBC,21,female,1,05,M,5.4,Musicstimuli/Morning.talk,wav,0.826,07,Hap
34,FKBC,21,female,1,09,F,6.1,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
35,FKBC,21,female,1,03,M,6.4,Musicstimuli/Crossing.over,wav,0.087,01,Sad
36,FKBC,21,female,1,01,F,6.0,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
37,FKBC,21,female,1,07,M,4.5,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
38,FKBC,21,female,1,08,F,5.3,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
39,FKBC,21,female,1,05,F,5.7,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
